key,variant,prefill_wall_ms,worker_prefetch_union_ms,main_payload_resolve_entry_union_ms,worker_overlap_main_resolve_entry_ms,worker_overlap_main_selection_mask_layout_ms
k005/sst2,baseline,126.8847760925293,43.210604461669924,25.350558807373048,12.388574554443359,2.4383724670410154
k005/sst2,optimized,134.23079745483398,46.76811160278321,25.995707824707033,12.935552917480468,3.140265625
k005/subj,baseline,168.9351671142578,53.47349938964844,36.66969067382813,21.719763610839845,2.317884246826172
k005/subj,optimized,158.33153125,57.923104125976565,38.523955535888675,23.479110656738282,2.8362227783203124
k005/trec,baseline,162.59752514648437,61.700592041015625,40.21393161010742,26.70892172241211,2.6478442993164064
k005/trec,optimized,161.7145842590332,60.67061444091797,38.784033599853515,25.744919738769532,2.7167796325683593
k005/rte,baseline,190.56090393066407,68.17939541625977,47.21213641357422,29.156228729248046,3.108996398925781
k005/rte,optimized,187.0311322631836,62.00156155395508,44.02685803222656,25.98668801879883,2.3442142333984375
k010/sst2,baseline,217.61301293945314,62.87957183837891,36.20720053100586,17.385140380859376,2.9654737243652343
k010/sst2,optimized,155.96264123535155,63.38035733032227,30.773882263183594,18.301900665283203,2.97808740234375
k010/subj,baseline,219.13068591308593,95.35722570800782,59.984088928222654,43.68158172607422,3.334611541748047
k010/subj,optimized,191.5360193786621,80.99174893188476,52.0708930053711,36.65488165283203,3.006050262451172
k010/trec,baseline,233.96544216918946,110.25984222412109,72.36391940307618,56.1662590637207,3.2517806396484374
k010/trec,optimized,193.5687466430664,85.62138897705077,52.45296575927735,39.85488653564453,3.296512725830078
k010/rte,baseline,258.4958801879883,102.39278793334961,68.14119332885743,47.303236114501956,2.922089111328125
k010/rte,optimized,220.28904681396483,91.39833587646484,62.973015167236326,44.40568814086914,2.242714538574219
k025/sst2,baseline,304.8997919006348,190.6381900024414,98.28697314453125,85.25114498901367,4.700393615722656
k025/sst2,optimized,264.98271682739255,175.59400073242188,83.72084307861329,77.49631378173828,4.773442901611328
k025/subj,baseline,353.75006970214844,270.6589961853027,166.02651522827148,155.5620785522461,5.657234680175781
k025/subj,optimized,295.46864373779295,213.7077587585449,113.14132083129883,106.30465689086915,4.011158020019531
k025/trec,baseline,402.9888306884766,264.0598027648926,155.29065435791017,141.04644265747072,5.526991149902344
k025/trec,optimized,452.84836096191407,258.2670097961426,128.44655990600586,121.72076116943359,4.614113037109375
k025/rte,baseline,418.6461833190918,317.0495440063477,195.73480126953126,186.9469960632324,5.2435693359375
k025/rte,optimized,404.47764291381833,284.17853720092774,169.68133587646486,161.77812759399413,4.083203979492188
k050/sst2,baseline,468.3321573486328,332.55879809570314,189.59986505126955,177.3047010498047,8.778972473144531
k050/sst2,optimized,412.0425588684082,275.2696913757324,140.460724609375,133.3950881652832,5.19950927734375
k050/subj,baseline,571.6691405334473,411.1450510864258,277.68918856811524,255.02567156982423,5.730601379394531
k050/subj,optimized,459.942784942627,344.3492074890137,222.589805267334,215.03565426635743,3.6149256591796872
k050/trec,baseline,543.7071520996094,387.9172874755859,258.1519822387695,239.32933944702148,7.012821685791016
k050/trec,optimized,457.45289453124997,316.92369729614256,180.65444174194334,172.7420385131836,4.525747009277344
k050/rte,baseline,753.5117331848145,577.9053433227539,406.27343972778317,380.4241125793457,7.0267939453125
k050/rte,optimized,952.9942060546875,674.3968239135743,280.6044599609375,272.7336836547852,7.850523406982422
