budget_pct,task,samples,accuracy,mean_ttft_ms,p95_ttft_ms,mean_response_ready_ms,mean_evaluation_ready_ms,uid_order_exact,exact_budget_all,p8_all,timing_order_all
5,sst2,867,0.9250288350634371,107.40557847817932,118.61162399873137,107.61228587581522,107.92679603468314,True,True,True,True
5,subj,998,0.5420841683366734,128.80982473429165,152.87228499073535,129.02504648886833,156.6657488969694,True,True,True,True
5,trec,495,0.4222222222222222,141.27226782482907,171.00283701438457,141.49049137356795,224.99334606920567,True,True,True,True
5,rte,272,0.8860294117647058,174.53064134272554,208.56133906636387,174.78348370401793,328.3370550313574,True,True,True,True
10,sst2,867,0.9331026528258363,157.35132800578435,177.9167311033234,157.60982896076706,157.9907812919863,True,True,True,True
10,subj,998,0.5260521042084169,166.9307851154667,201.526343007572,167.16916246768014,197.86590418509135,True,True,True,True
10,trec,495,0.6606060606060606,176.83788690871248,206.39596006367356,177.09030045638556,273.5168686837447,True,True,True,True
10,rte,272,0.8529411764705882,202.25105305743296,244.06769289635122,202.47555867835592,336.0534283912035,True,True,True,True
25,sst2,867,0.936562860438293,238.7105569563271,269.40941100474447,238.96325787439653,239.3365751386909,True,True,True,True
25,subj,998,0.5480961923847696,244.6726822314825,284.610684029758,244.9249476597986,278.18047013453383,True,True,True,True
25,trec,495,0.6848484848484848,287.86985062349663,341.1748049547896,288.1248383368883,384.4546824169223,True,True,True,True
25,rte,272,0.875,281.29850977668815,353.26964303385466,281.5369717204971,425.5255034076981,True,True,True,True
50,sst2,867,0.9388696655132641,275.49349222637846,292.7210059715435,275.7079310792003,276.05338697617117,True,True,True,True
50,subj,998,0.845691382765531,317.13920828309153,371.2796769104898,317.3629503924855,348.8114817006857,True,True,True,True
50,trec,495,0.6242424242424243,390.07335016315784,479.6726800268516,390.32569541760506,488.18196167209834,True,True,True,True
50,rte,272,0.8933823529411765,679.7364764489056,891.8735469924286,680.0077136118916,842.350657485333,True,True,True,True
